"Country Code","Année","Valeur"
"ABW",2017,29007.6930034887
"AFG",2017,519.884773089339
"AGO",2017,4095.81294155857
"ALB",2017,4531.02080555986
"AND",2017,38962.8803536703
"ARB",2017,6108.58822028271
"ARE",2017,40644.804043392
"ARG",2017,14613.0418246696
"ARM",2017,3914.5012684128
"ASM",2017,10823.4448040273
"ATG",2017,15383.4151884998
"AUS",2017,54027.9668184568
"AUT",2017,47426.5119597773
"AZE",2017,4147.08971569171
"BDI",2017,292.997630684415
"BEL",2017,44192.6230270333
"BEN",2017,1136.59284704681
"BFA",2017,734.994429826895
"BGD",2017,1563.91369862485
"BGR",2017,8334.08172775332
"BHR",2017,23742.9850166355
"BHS",2017,32718.6381008013
"BIH",2017,5394.59122017677
"BLR",2017,5761.74712023007
"BLZ",2017,4887.5772083381
"BMU",2017,111820.581466347
"BOL",2017,3351.1240444427
"BRA",2017,9925.38623770041
"BRB",2017,17391.4258663397
"BRN",2017,28572.1467776509
"BTN",2017,3286.57470287488
"BWA",2017,7893.23253363666
"CAF",2017,450.900244979058
"CAN",2017,45146.1139998138
"CEB",2017,14244.8644785917
"CHE",2017,80449.9945127739
"CHL",2017,14999.3700885512
"CHN",2017,8879.43866711346
"CIV",2017,2111.02707557541
"CMR",2017,1425.10781805333
"COD",2017,467.07423746489
"COG",2017,2191.22043789319
"COL",2017,6376.70671552601
"COM",2017,1323.81158996501
"CPV",2017,3292.64575457372
"CRI",2017,11814.6265687665
"CSS",2017,9767.97005850011
"CUB",2017,8541.2106734664
"CUW",2017,19457.5315232205
"CYM",2017,81302.122965073
"CYP",2017,26338.6943443136
"CZE",2017,20636.199952435
"DEU",2017,44552.8193719078
"DJI",2017,2914.38385631251
"DMA",2017,7274.72133332919
"DNK",2017,57610.0981801136
"DOM",2017,7609.33879952227
"DZA",2017,4111.29411013269
"EAP",2017,7173.56731526143
"EAR",2017,3555.33459430595
"EAS",2017,10467.3539156928
"ECA",2017,7879.81870052492
"ECS",2017,23629.1062496353
"ECU",2017,6213.50127649921
"EGY",2017,2444.29031115094
"EMU",2017,37140.6698528957
"ESP",2017,28170.1678643302
"EST",2017,20458.4607286705
"ETH",2017,768.522307579386
"EUU",2017,33080.9186444207
"FCS",2017,2055.57360374933
"FIN",2017,46336.6632530127
"FJI",2017,6101.03083866498
"FRA",2017,38812.1610341682
"FRO",2017,60108.4666887359
"FSM",2017,3289.70114571277
"GAB",2017,7230.39639268426
"GBR",2017,40361.4173832159
"GEO",2017,4357.00093554628
"GHA",2017,2025.93242386751
"GIN",2017,855.573639877367
"GMB",2017,679.756913965828
"GNB",2017,738.549944890782
"GNQ",2017,9667.91225173046
"GRC",2017,18930.2186276597
"GRD",2017,10152.8328118872
"GRL",2017,50321.3687543442
"GTM",2017,4451.45098144235
"GUM",2017,35615.8046274371
"GUY",2017,6124.92996724861
"HIC",2017,42013.14613375
"HKG",2017,46165.8565115953
"HND",2017,2453.72789597457
"HPC",2017,939.509103511368
"HRV",2017,13451.6249479152
"HTI",2017,1294.23974604323
"HUN",2017,14605.8543453283
"IBD",2017,6094.40246467665
"IBT",2017,4889.15290327857
"IDA",2017,1319.41219090651
"IDB",2017,1718.48233204613
"IDN",2017,3837.65173121117
"IDX",2017,1118.02654719899
"IMN",2017,83489.8170360741
"IND",2017,1981.6510498992
"IRL",2017,69822.3470849141
"IRN",2017,5520.31047120905
"IRQ",2017,5205.28825476591
"ISL",2017,71310.9392562342
"ISR",2017,40541.8620938968
"ITA",2017,32406.7203150134
"JAM",2017,5069.18383810726
"JOR",2017,4234.40313273963
"JPN",2017,38386.5111457057
"KAZ",2017,9247.58133129626
"KEN",2017,1572.33549593781
"KGZ",2017,1242.76964282023
"KHM",2017,1385.2599796333
"KIR",2017,1640.50010436018
"KNA",2017,19158.7448006081
"KOR",2017,31616.8434004683
"KWT",2017,29759.4364865575
"LAC",2017,9005.7993239704
"LAO",2017,2423.8462031921
"LBN",2017,7801.17865807555
"LBR",2017,698.70176435511
"LBY",2017,5756.69844996569
"LCA",2017,11047.4449858109
"LCN",2017,9448.2552854139
"LDC",2017,1046.81551138092
"LIC",2017,792.826294086648
"LIE",2017,173356.051288416
"LKA",2017,4077.04372120747
"LMC",2017,2037.37364885081
"LMY",2017,4753.27569931336
